no_indicacao;autor;uo_sigla;ano;tipo_de_indicacao;objeto;funcao_descricao;municipio;nome_do_beneficiario;no_instrumento;valor_indicado;valor_utilizado;valor_empenhado;valor_pago;status
164427;LOHANNA;SECULT;2025;CELEBRAÇÃO DE CONVÊNIO;EVENTOS - Realização - Projetos Culturais de Interesse Público;CULTURA;TEOFILO OTONI;ASSOCIACAO HISTORICO CULTURAL MUCURY;1271000916/2025;150000,0;150000,0;150000,0;150000,0;Pago Total
166748;BETAO;SECULT;2025;CELEBRAÇÃO DE CONVÊNIO;EVENTOS - Realização - Não há;CULTURA;JUIZ DE FORA;ASSOCIACAO CULTURAL CINE FANON - ACCF;1271000366/2025;100000,0;100000,0;100000,0;100000,0;Pago Total
168118;RICARDO CAMPOS;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Mobiliário e Equipamento;ADMINISTRAÇÃO;DESTERRO DE ENTRE RIOS;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS DE DESTERRO DE E RIOS;1481000621/2025;100000,0;100000,0;100000,0;100000,0;Pago Total
168619;RAUL BELÉM;SEDESE;2025;CELEBRAÇÃO DE CONVÊNIO;AQUISIÇÃO DE BENS - Permanente - Veículo Van (mínimo 15 lugares);ADMINISTRAÇÃO;CARMO DO RIO CLARO;CONSELHO DE DESENVOLVIMENTO COMUNITARIO B.RURAL DA FURNA;1481000448/2025;324048,01;324048,01;324048,01;324048,01;Pago Total
164642;ADRIANO ALVARENGA;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;CORREGO NOVO;FUNDO MUNICIPAL DE SAUDE;010092/2025;400000,0;400000,0;400000,0;400000,0;Pago Total
168401;LUIZINHO;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;TOCOS DO MOJI;MUNICIPIO DE TOCOS DO MOJI;0016/2025;15000,0;15000,0;15000,0;15000,0;Pago Total
162046;CAPOREZZO;FES;2025;RESOLUÇÃO SES;Veículo Passeio (5 lugares);SAÚDE;DIVISA NOVA;FUNDO MUNICIPAL DE SAUDE DE DIVISA NOVA;010088/2025;83953,0;83953,0;83953,0;83953,0;Pago Total
168540;LUD FALCÃO;SEGOV;2025;TRANSFERÊNCIA ESPECIAL;Transferência Especial;ADMINISTRAÇÃO;ROMARIA;MUNICIPIO DE ROMARIA;0016/2025;6000,0;6000,0;6000,0;6000,0;Pago Total
165979;RICARDO CAMPOS;FES;2025;RESOLUÇÃO SES;Custeio;SAÚDE;LONTRA;FUNDO MUNICIPAL DE SAÚDE DE LONTRA;010092/2025;400000,0;400000,0;400000,0;400000,0;Pago Total
162076;CARLOS HENRIQUE;CBMMG;2025;EXECUÇÃO DIRETA;(Custeio) Animais em Risco: Equipamentos para salvamento;SEGURANÇA PÚBLICA;ALMENARA;Pelotão - Almenara;;50000,0;49993,1;49993,1;45806,12;Pago Parcial
179972;DOUTOR PAULO;SEE;2025;EXECUÇÃO DIRETA - CAIXA ESCOLAR;Equipamento e Mobiliário;EDUCAÇÃO;POUSO ALEGRE;EE PROFESSORA MARIANA PEREIRA FERNANDES;1055645;100000,0;100000,0;100000,0;100000,0;Pago Total
165473;RAUL BELÉM;FES;2025;RESOLUÇÃO SES;Veículo Minivan (mínimo 7 lugares);SAÚDE;CANAPOLIS;FUNDO MUNICIPAL DE SAUDE DE CANAPOLIS MG;010088/2025;150000,0;150000,0;150000,0;150000,0;Pago Total
